category,english,nepalbhasa_devanagari,nepalbhasa_transliteration
greeting,hello,जुजु,Juju
greeting,goodbye,च्वसा,Chwasa
greeting,thank you,सुभाय्,Subhay
greeting,yes,ज्या,Jya
greeting,no,मखु,Makhu
greeting,please,क्वथायेमा,Kwothayema
greeting,sorry,माफ याना,Mapha yana
greeting,welcome,ल्वह्याना,Lwhyana
greeting,how are you,छि थें दु?,Chhi then du?
greeting,I am fine,जि सुथें दु,Ji suthen du
greeting,good morning,शुभप्रभात,Shubhaprabhat
greeting,good night,शुभरात्री,Shubharatri
number,one,ति,Ti
number,two,नि,Ni
number,three,सो,So
number,four,पि,Pi
number,five,न्या,Nya
number,six,खु,Khu
number,seven,न्हि,Nhi
number,eight,च्या,Chya
number,nine,गु,Gu
number,ten,थ्व,Thwa
number,hundred,तम,Tama
number,thousand,सहस्र,Sahasra
number,zero,सुन्य,Sunya
family,mother,मां,Maa
family,father,अबु,Abu
family,sister,ज्यामरि,Jyamari
family,brother,भाजु,Bhaju
family,son,मचा,Macha
family,daughter,झि,Jhi
family,grandfather,अजः,Ajah
family,grandmother,अजिमा,Ajima
family,husband,सिं,Sing
family,wife,मिसा,Misa
family,child,मचा,Macha
family,family,क्वथि,Kwothi
family,uncle,काजु,Kaju
family,aunt,काजि,Kaji
body,head,सिं,Si
body,eye,मि,Mi
body,ear,न्ह्यासा,Nhyasa
body,nose,न्ह्यु,Nhyu
body,mouth,थ्याथु,Thyathu
body,hand,लः,Lah
body,leg,प्याखं,Pyakha
body,heart,सफु,Saphu
body,stomach,त्वाः,Twah
body,back,चिकं,Chika
body,hair,क्वःछि,Kwahchhi
body,tooth,खिं,Khi
body,tongue,ल्वाःसा,Lwahsa
body,neck,गुलः,Gulah
body,shoulder,काँ,Ka
body,finger,लमरि,Lamari
body,face,न्ह्यः,Nhyah
color,red,ल्ह्याःमा,Lhyahma
color,blue,निलामा,Nilama
color,green,हरियामा,Hariyama
color,yellow,ज्वंमा,Jwama
color,black,न्यामा,Nyama
color,white,स्वेतमा,Swetama
color,orange,सुन्तलामा,Suntalama
color,purple,बैजनीमा,Baijanimaa
color,brown,खैरोमा,Khairma
color,pink,गुलाबीमा,Gulabima
food,rice,बियां,Biyan
food,water,लः,La
food,milk,झि,Jhi
food,bread,बंलः,Bala
food,meat,सा,Sa
food,fish,ङा,Nga
food,egg,किप,Kipa
food,vegetable,साग,Saag
food,fruit,फल,Phala
food,salt,क्वःसा,Kwahsa
food,sugar,चिनि,Chini
food,oil,तेल,Tela
food,tea,चिया,Chiya
food,food,खाजा,Khaja
food,sweet,गुलियो,Guliyo
food,spicy,तिखो,Tikho
food,butter,ग्वः,Gwah
food,yogurt,झी,Jhi
nature,sun,सु,Su
nature,moon,न्ह्याय्पुँ,Nhyaypu
nature,star,सःपुँ,Sahpu
nature,sky,आस्मान,Aasmaan
nature,rain,झ्वः,Jhwah
nature,wind,वायु,Vayu
nature,fire,में,Me
nature,water,लः,La
nature,earth,म्ह्यय्,Mhyay
nature,mountain,हिमाल,Himal
nature,river,खुसि,Khusi
nature,tree,सिं,Si
nature,flower,स्वयाः,Swayah
nature,leaf,लाकु,Laku
nature,stone,लाखा,Lakha
nature,cloud,थिभाय्,Thibhay
nature,snow,हिउँ,Hiu
nature,lake,ग्वःपुखु,Gwahpukhu
nature,forest,जंगल,Jangal
nature,bird,च्वय्,Chwaya
nature,animal,स्वाँ,Swaa
nature,fish,ङा,Nga
time,today,थ्व न्हि,Thwa nhi
time,yesterday,न्हापाया न्हि,Nhapaya nhi
time,tomorrow,ताःया न्हि,Tahya nhi
time,morning,भिंचा,Bhincha
time,afternoon,न्हिथाय्,Nhithay
time,evening,थःन्हु,Thanhu
time,night,स्वान्हु,Swanhu
time,year,दँ,Da
time,month,ला,La
time,week,हप्ता,Hapta
time,day,न्हि,Nhi
time,hour,घन्टा,Ghanta
time,minute,मिनेट,Mineta
time,now,थाय्,Thay
time,always,सतय्,Satay
time,never,मकये,Makaye
verb,eat,चायेगु,Chayegu
verb,drink,ज्यायेगु,Jyayegu
verb,sleep,न्यायेगु,Nyayegu
verb,walk,नेयेगु,Neyegu
verb,run,दाहाँ धायेगु,Daha dhayegu
verb,speak,धायेगु,Dhayegu
verb,listen,न्ह्यायेगु,Nhyayegu
verb,see,स्वयेगु,Swayegu
verb,come,वयेगु,Wayegu
verb,go,वनेगु,Wanegu
verb,give,दयेगु,Dayegu
verb,take,नायेगु,Nayegu
verb,buy,ज्वनेगु,Jwanegu
verb,sell,क्वकायेगु,Kwakayegu
verb,read,ल्हायेगु,Lhayegu
verb,write,ल्यायेगु,Lyayegu
verb,work,मेगु,Megu
verb,play,त्यायेगु,Tyayegu
verb,laugh,त्वःयायेगु,Twahyayegu
verb,cry,क्वाहाँ यायेगु,Kwaha yayegu
verb,love,हाःयायेगु,Hahyayegu
verb,know,थुयेगु,Thuyegu
verb,think,ल्यायेगु,Lyayegu
verb,open,खनेगु,Khanegu
verb,close,छायेगु,Chhayegu
verb,sit,थायेगु,Thayegu
verb,stand,थाकेगु,Thakegu
verb,wait,थायेगु,Thayegu
verb,help,मदतयेगु,Madatayegu
verb,learn,ल्हायेगु,Lhayegu
verb,teach,ल्हायकेगु,Lhayakegu
verb,cook,ब्वयेगु,Bwayegu
verb,wash,क्षालयेगु,Kshalayegu
verb,clean,सुथेयायेगु,Sutheyayegu
verb,build,दयेकेगु,Dayakegu
verb,break,तुलेगु,Tulegu
verb,find,थुइकेगु,Thuikegu
verb,lose,त्वःतेगु,Twategu
verb,win,थियेगु,Thiyegu
verb,remember,दयेकेगु,Dayakegu
verb,forget,मत्वासा,Matwasa
verb,want,लायेगु,Layegu
verb,need,छुं लायेगु,Chhu layegu
adjective,big,थकाली,Thakali
adjective,small,छिकाली,Chhikali
adjective,hot,न्ह्यागु,Nhyagu
adjective,cold,स्यांगु,Syangu
adjective,good,भिंगु,Bhingu
adjective,bad,मभिंगु,Mabhingu
adjective,new,च्वसागु,Chwasagu
adjective,old,थाँगु,Thangu
adjective,fast,ख्यलय्,Khyalay
adjective,slow,न्हापाय्,Nhapay
adjective,beautiful,सुंदर,Sundara
adjective,ugly,असुंदर,Asundara
adjective,strong,बलिष्ठ,Balistha
adjective,weak,निर्बल,Nirbala
adjective,happy,सुखीमनु,Sukhimanu
adjective,sad,दुखीमनु,Dukhimanu
adjective,hungry,क्षुधाय्,Kshudhay
adjective,thirsty,त्वाखनाय्,Twakhanay
adjective,tired,सल्हाःगु,Salhagu
adjective,sick,न्ह्येबोगु,Nhyebogu
adjective,healthy,सुथेगु,Suthegu
adjective,rich,धनी,Dhani
adjective,poor,निर्धन,Nirdhana
adjective,tall,थकाः,Thakah
adjective,short,छिकाः,Chhikah
adjective,heavy,लखाःगु,Lakhagu
adjective,light,लिक्कगु,Likkagu
adjective,clean,सुथेगु,Suthegu
adjective,dirty,मलिन,Malina
adjective,loud,छताःगु,Chhatagu
adjective,quiet,न्हाःगु,Nhagu
adjective,easy,सजिलो,Sajilo
adjective,difficult,कठिन,Kathina
adjective,true,स्वया,Swaya
adjective,false,देखाथें,Dekhathey
place,home,च्वं,Chwa
place,school,विद्यालय,Vidyalaya
place,hospital,चिकित्सालय,Chikitsalaya
place,market,बजार,Bazar
place,temple,देगः,Degah
place,road,लँ,La
place,city,नगर,Nagara
place,village,गाउँ,Gaun
place,country,देश,Desha
place,Nepal,नेपाः,Nepah
place,Kathmandu,येँ,Yen
place,Lalitpur,ललितपुर,Lalitapura
place,Bhaktapur,खोपिं,Khoping
place,shop,पसः,Pasah
place,restaurant,भोजनालय,Bhojanaalya
